City_ID,City,Country,date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Praia Da Vitoria,PT,2021-1205 20:46:27,38.7333,-27.0667,60.76,94,75,5.28
227,Spornoye,RU,2021-1205 20:46:28,50.8448,37.2913,23.02,69,100,5.79
228,Yabelo,ET,2021-1205 20:47:28,4.8833,38.0833,60.24,58,26,15.86
229,Camana,PE,2021-1205 20:47:28,-16.6228,-72.7111,69.44,78,100,4.29
230,La Ronge,CA,2021-1205 20:47:29,55.1001,-105.2842,-10.95,58,20,10.36
231,Fairbanks,US,2021-1205 20:42:32,64.8378,-147.7164,4.91,78,1,0.0
232,Yerbogachen,RU,2021-1205 20:47:29,61.2767,108.0108,-19.62,100,97,2.93
233,Rapid Valley,US,2021-1205 20:47:29,44.0625,-103.1463,33.06,46,40,33.38
234,Ulladulla,AU,2021-1205 20:47:30,-35.35,150.4667,59.88,66,100,2.35
235,Darnah,LY,2021-1205 20:47:30,32.767,22.6367,62.13,67,6,9.06
236,Hellevoetsluis,NL,2021-1205 20:47:30,51.8333,4.1333,42.01,79,99,1.01
237,Severo-Kurilsk,RU,2021-1205 20:45:29,50.6789,156.125,31.5,72,94,19.66
238,Hamilton,US,2021-1205 20:45:29,39.1834,-84.5333,61.05,61,40,1.99
239,Coquimbo,CL,2021-1205 20:47:31,-29.9533,-71.3436,64.13,72,40,12.66
240,Bubaque,GW,2021-1205 20:47:31,11.2833,-15.8333,81.52,68,99,13.51
241,Kirakira,SB,2021-1205 20:47:31,-10.4544,161.9205,81.81,83,99,6.29
242,Codrington,AU,2021-1205 20:47:32,-38.2667,141.9667,56.93,65,99,6.67
243,Mbanza-Ngungu,CD,2021-1205 20:47:32,-5.25,14.8667,70.45,91,86,1.59
244,Manoel Urbano,BR,2021-1205 20:47:33,-8.8389,-69.2597,74.82,98,100,1.16
245,Cabo San Lucas,MX,2021-1205 20:45:24,22.8909,-109.9124,82.06,59,40,1.99
246,Saint-Francois,FR,2021-1205 20:47:33,46.4154,3.9054,38.68,92,90,13.8
247,Nieves,PH,2021-1205 20:47:33,15.3274,120.9485,67.19,87,93,3.78
248,Sterlibashevo,RU,2021-1205 20:47:34,53.4376,55.2578,26.02,94,100,2.55
249,Padang,ID,2021-1205 20:47:34,-0.9492,100.3543,73.45,87,99,2.48
250,Gunjur,GM,2021-1205 20:47:34,13.2019,-16.7339,78.87,65,100,3.44
251,Kaeo,NZ,2021-1205 20:47:35,-35.1,173.7833,73.33,87,48,8.16
252,Nianzishan,CN,2021-1205 20:47:35,47.5167,122.8833,23.95,65,0,16.69
253,Ahipara,NZ,2021-1205 20:47:35,-35.1667,173.1667,72.28,74,51,9.84
254,Boguchany,RU,2021-1205 20:47:36,58.3814,97.4531,25.48,96,100,6.42
255,Kathu,TH,2021-1205 20:47:36,7.9178,98.3332,73.22,74,100,14.41
256,Fomboni,KM,2021-1205 20:47:36,-12.28,43.7425,82.13,76,3,9.98
257,Mayo,US,2021-1205 20:47:37,38.8876,-76.5119,53.58,51,90,1.01
258,Maksatikha,RU,2021-1205 20:47:37,57.797,35.8825,5.81,94,100,6.69
259,Lumatil,PH,2021-1205 20:47:37,5.8747,124.8883,78.96,82,27,3.69
260,Shizukuishi,JP,2021-1205 20:47:37,39.6833,140.9833,25.41,93,24,2.53
261,Tecoanapa,MX,2021-1205 20:47:38,16.5167,-98.75,84.43,61,2,8.08
262,Yilan,TW,2021-1205 20:47:38,24.757,121.753,66.36,99,59,4.05
263,Brewster,US,2021-1205 20:43:28,41.3973,-73.6171,46.24,41,93,1.01
264,Nikolskoye,RU,2021-1205 20:47:39,59.7035,30.7861,1.02,97,9,4.81
265,Tefe,BR,2021-1205 20:47:39,-3.3542,-64.7114,86.11,79,40,4.61
266,Aplahoue,BJ,2021-1205 20:47:39,6.9333,1.6833,79.02,81,65,7.34
267,Chiredzi,ZW,2021-1205 20:47:40,-21.05,31.6667,80.01,60,1,10.63
268,Guerrero Negro,MX,2021-1205 20:47:40,27.9769,-114.0611,69.17,64,1,15.23
269,Carinhanha,BR,2021-1205 20:47:40,-14.3047,-43.765,76.33,78,16,3.11
270,Nome,US,2021-1205 20:47:41,64.5011,-165.4064,32.07,93,90,28.77
271,Puerto Colombia,CO,2021-1205 20:47:41,10.9878,-74.9547,89.69,75,62,18.79
272,Nizhnyaya Tavda,RU,2021-1205 20:47:41,57.6731,66.1725,14.11,91,57,4.0
273,Borovichi,RU,2021-1205 20:47:42,58.3878,33.9155,1.49,92,70,7.56
274,Taunggyi,MM,2021-1205 20:48:42,20.7833,97.0333,53.67,88,9,2.42
275,Kloulklubed,PW,2021-1205 20:48:42,7.0419,134.2556,75.7,76,100,9.4
