City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,That Phanom,TH,70.12,clear sky,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
643,Les Cayes,HT,76.15,clear sky,18.2,-73.75,Villa Orphee
645,Kouango,CF,74.28,overcast clouds,4.9934,19.9619,
649,Bandarbeyla,SO,73.18,few clouds,9.4942,50.8122,JABIR HOTEL
653,Lazaro Cardenas,MX,76.37,clear sky,17.9583,-102.2,quinta antigua
658,The Valley,AI,80.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
660,Santa Ines,BR,75.56,scattered clouds,-3.6667,-45.38,Palace hotel
661,Parrita,CR,82.17,scattered clouds,9.5201,-84.3225,Beso del Viento
664,Qui Nhon,VN,72.48,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
665,Umm Lajj,SA,72.79,clear sky,25.0213,37.2685,Moon light Furnished Units
667,Tomatlan,MX,71.58,overcast clouds,19.9333,-105.25,El Salvial
671,Impfondo,CG,73.02,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
674,Alugan,PH,80.38,broken clouds,12.2188,125.4808,JM Lodge
675,Cockburn Town,TC,80.65,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
677,Suyo,PH,82.96,scattered clouds,16.9762,120.5254,Hannah's Homestay
678,Bartica,GY,73.72,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
679,Katobu,ID,78.4,overcast clouds,-4.9408,122.5276,La Ode Husein
680,Manadhoo,MV,82.22,scattered clouds,5.7667,73.3833,Reason Inn
